"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_create_product_without_name_returns_400","tests","Tue Apr 07 06:41:51 UTC 2026","passed","Tue Apr 07 06:41:51 UTC 2026","TestCreateProduct","products_test","",""
"","9","products in listing include expected fields","","Tue Apr 07 06:41:44 UTC 2026","passed","Tue Apr 07 06:41:44 UTC 2026","Product Endpoints > GET /api/products","products_test.spec.ts","",""
"Verify get non-existent user returns 404","19","testGetNonExistentUser","API Test Suite","Tue Apr 07 06:41:54 UTC 2026","passed","Tue Apr 07 06:41:54 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testGetNonExistentUser"
"Verify admin can soft delete product","51","testDeleteProduct","API Test Suite","Tue Apr 07 06:41:57 UTC 2026","passed","Tue Apr 07 06:41:57 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testDeleteProduct"
"Verify get order fails without authentication","11","testGetOrderNoAuth","API Test Suite","Tue Apr 07 06:41:59 UTC 2026","passed","Tue Apr 07 06:41:59 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testGetOrderNoAuth"
"No auth should be required for viewing a single product.","5","test_get_product_is_public","tests","Tue Apr 07 06:41:51 UTC 2026","passed","Tue Apr 07 06:41:51 UTC 2026","TestGetProduct","products_test","",""
"","1064","Admin cancel order with confirmation removes order from pending list","chromium","Tue Apr 07 06:42:51 UTC 2026","passed","Tue Apr 07 06:42:52 UTC 2026","Orders — Authenticated Admin","orders_test.spec.ts","",""
"","863","Admin pagination next button advances to page 2","chromium","Tue Apr 07 06:42:50 UTC 2026","passed","Tue Apr 07 06:42:51 UTC 2026","Orders — Authenticated Admin","orders_test.spec.ts","",""
"","842","Sign-out redirects to login page","chromium","Tue Apr 07 06:42:10 UTC 2026","passed","Tue Apr 07 06:42:11 UTC 2026","Dashboard — Authenticated Admin","dashboard_test.spec.ts","",""
"","1","setup","","Tue Apr 07 06:43:08 UTC 2026","passed","Tue Apr 07 06:43:08 UTC 2026","","k6 Performance Tests","",""
"","8","returns HTTP 400 for password shorter than minimum length","","Tue Apr 07 06:41:34 UTC 2026","passed","Tue Apr 07 06:41:34 UTC 2026","Authentication Endpoints > POST /api/auth/register","auth_test.spec.ts","",""
"","469","Search returns filtered results","chromium","Tue Apr 07 06:43:16 UTC 2026","passed","Tue Apr 07 06:43:16 UTC 2026","Products — Unauthenticated","products_test.spec.ts","",""
"","163","response contains token","","Tue Apr 07 06:41:34 UTC 2026","passed","Tue Apr 07 06:41:34 UTC 2026","Authentication Endpoints > POST /api/auth/login","auth_test.spec.ts","",""
"","836","User can set quantity before ordering","chromium","Tue Apr 07 06:43:13 UTC 2026","passed","Tue Apr 07 06:43:14 UTC 2026","Product Detail — Authenticated User","product_detail_test.spec.ts","",""
"","3","test_health_reports_healthy_status","tests","Tue Apr 07 06:41:47 UTC 2026","passed","Tue Apr 07 06:41:47 UTC 2026","TestHealthEndpoint","health_test","",""
"","39244","GET /api/users","","Tue Apr 07 06:43:08 UTC 2026","passed","Tue Apr 07 06:43:47 UTC 2026","","k6 Performance Tests","",""
"Orders link navigates to orders page","1064","ordersLinkNavigatesToOrdersPage","SQA Automation Lab — Selenium UI Suite","Tue Apr 07 06:47:53 UTC 2026","passed","Tue Apr 07 06:47:54 UTC 2026","com.sqa.ui.tests.NavigationTest","UI Tests","com.sqa.ui.tests.NavigationTest","ordersLinkNavigatesToOrdersPage"
