"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1046","User all status filter options are selectable","chromium","Mon Apr 06 16:08:43 UTC 2026","passed","Mon Apr 06 16:08:45 UTC 2026","Orders — Authenticated User","orders_test.spec.ts","",""
"Verify user cannot get another user's order","41","testGetOtherUserOrder","API Test Suite","Mon Apr 06 16:07:58 UTC 2026","passed","Mon Apr 06 16:07:58 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testGetOtherUserOrder"
"Orders page displays heading","762","ordersPageDisplaysHeading","SQA Automation Lab — Selenium UI Suite","Mon Apr 06 16:11:47 UTC 2026","passed","Mon Apr 06 16:11:48 UTC 2026","com.sqa.ui.tests.OrdersTest","UI Tests","com.sqa.ui.tests.OrdersTest","ordersPageDisplaysHeading"
"","530","Duplicate email shows error message","chromium","Mon Apr 06 16:09:23 UTC 2026","passed","Mon Apr 06 16:09:24 UTC 2026","Register","register_test.spec.ts","",""
"Verify anyone can get product details without authentication","50","testGetProductPublic","API Test Suite","Mon Apr 06 16:07:55 UTC 2026","passed","Mon Apr 06 16:07:55 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testGetProductPublic"
"","458","empty email stays on login page","chromium","Mon Apr 06 16:08:11 UTC 2026","passed","Mon Apr 06 16:08:11 UTC 2026","Login","login_test.spec.ts","",""
"","766","Sign in link is not visible","chromium","Mon Apr 06 16:08:21 UTC 2026","passed","Mon Apr 06 16:08:22 UTC 2026","Navbar — Authenticated Admin","navbar_test.spec.ts","",""
"","3","test_list_users_limit_exceeds_max_returns_400","tests","Mon Apr 06 16:07:53 UTC 2026","passed","Mon Apr 06 16:07:53 UTC 2026","TestListUsers","user_test","",""
"","5","returns HTTP 401 without token","","Mon Apr 06 16:07:35 UTC 2026","passed","Mon Apr 06 16:07:35 UTC 2026","Product Endpoints > POST /api/products","products_test.spec.ts","",""
"","252","returns HTTP 401 without token","","Mon Apr 06 16:07:25 UTC 2026","passed","Mon Apr 06 16:07:25 UTC 2026","Order Endpoints > POST /api/orders","orders_test.spec.ts","",""
"","768","Dashboard link is visible","chromium","Mon Apr 06 16:08:27 UTC 2026","passed","Mon Apr 06 16:08:28 UTC 2026","Navbar — Authenticated Regular User","navbar_test.spec.ts","",""
"","402","Brand link navigates to products page","chromium","Mon Apr 06 16:08:17 UTC 2026","passed","Mon Apr 06 16:08:17 UTC 2026","Navbar — Unauthenticated","navbar_test.spec.ts","",""
"","2","test_health_includes_environment","tests","Mon Apr 06 16:07:48 UTC 2026","passed","Mon Apr 06 16:07:48 UTC 2026","TestHealthEndpoint","health_test","",""
"","5539","Empty first name shows validation error","chromium","Mon Apr 06 16:09:07 UTC 2026","failed","Mon Apr 06 16:09:13 UTC 2026","Register","register_test.spec.ts","",""
"","5","returns HTTP 401 without token","","Mon Apr 06 16:07:39 UTC 2026","passed","Mon Apr 06 16:07:39 UTC 2026","User Endpoints > GET /api/users","user_test.spec.ts","",""
"","7","content-type is application/json","","Mon Apr 06 16:07:23 UTC 2026","passed","Mon Apr 06 16:07:23 UTC 2026","Health Endpoints > GET /health","health_test.spec.ts","",""
"","38923","POST /api/auth/login - valid credentials","","Mon Apr 06 16:08:09 UTC 2026","passed","Mon Apr 06 16:08:48 UTC 2026","","k6 Performance Tests","",""
"","522","non-existent email stays on login page","chromium","Mon Apr 06 16:08:13 UTC 2026","passed","Mon Apr 06 16:08:13 UTC 2026","Login","login_test.spec.ts","",""
"Verify users list does not include passwords","51","testListUsersDoesNotReturnPasswords","API Test Suite","Mon Apr 06 16:07:53 UTC 2026","passed","Mon Apr 06 16:07:53 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testListUsersDoesNotReturnPasswords"
"","5","test_admin_can_update_product_price","tests","Mon Apr 06 16:07:52 UTC 2026","passed","Mon Apr 06 16:07:52 UTC 2026","TestUpdateProduct","products_test","",""
