"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_invalid_route_returns_404","tests","Fri Mar 27 20:14:12 UTC 2026","passed","Fri Mar 27 20:14:12 UTC 2026","TestNotFound","health_test","",""
"","29908","Health Tests","","Fri Mar 27 20:13:51 UTC 2026","passed","Fri Mar 27 20:14:21 UTC 2026","","JMeter Performance Tests","",""
"Verify delete user fails without authentication","14","testDeleteUserNoAuth","API Test Suite","Fri Mar 27 20:14:06 UTC 2026","passed","Fri Mar 27 20:14:06 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testDeleteUserNoAuth"
"Verify non-admin cannot delete product","15","testDeleteProductNonAdmin","API Test Suite","Fri Mar 27 20:14:09 UTC 2026","passed","Fri Mar 27 20:14:09 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testDeleteProductNonAdmin"
"","827","User order error message shown on invalid product","chromium","Fri Mar 27 20:15:15 UTC 2026","passed","Fri Mar 27 20:15:16 UTC 2026","Product Detail — Authenticated User","product_detail_test.spec.ts","",""
"","939","Admin can view products page","chromium","Fri Mar 27 20:15:20 UTC 2026","passed","Fri Mar 27 20:15:21 UTC 2026","Products — Authenticated Admin","products_test.spec.ts","",""
"","2","test_health_includes_environment","tests","Fri Mar 27 20:14:12 UTC 2026","passed","Fri Mar 27 20:14:12 UTC 2026","TestHealthEndpoint","health_test","",""
"","397","returns HTTP 401 without token","","Fri Mar 27 20:13:49 UTC 2026","passed","Fri Mar 27 20:13:49 UTC 2026","Order Endpoints > PATCH /api/orders/:id/status","orders_test.spec.ts","",""
"","300","Product detail page displays product price","chromium","Fri Mar 27 20:15:08 UTC 2026","passed","Fri Mar 27 20:15:08 UTC 2026","Product Detail — Unauthenticated","product_detail_test.spec.ts","",""
"","778","Register link is not visible","chromium","Fri Mar 27 20:14:43 UTC 2026","passed","Fri Mar 27 20:14:43 UTC 2026","Navbar — Authenticated Admin","navbar_test.spec.ts","",""
"","3","test_get_user_returns_full_profile","tests","Fri Mar 27 20:14:16 UTC 2026","passed","Fri Mar 27 20:14:16 UTC 2026","TestGetUser","user_test","",""
"","843","Dashboard link navigates to dashboard page","chromium","Fri Mar 27 20:14:51 UTC 2026","passed","Fri Mar 27 20:14:52 UTC 2026","Navbar — Authenticated Regular User","navbar_test.spec.ts","",""
"","5","test_get_product_by_id","tests","Fri Mar 27 20:14:16 UTC 2026","passed","Fri Mar 27 20:14:16 UTC 2026","TestGetProduct","products_test","",""
"Verify admin can soft delete product","43","testDeleteProduct","API Test Suite","Fri Mar 27 20:14:09 UTC 2026","passed","Fri Mar 27 20:14:09 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testDeleteProduct"
"","39219","DELETE /api/users/:id","","Fri Mar 27 20:15:19 UTC 2026","passed","Fri Mar 27 20:15:58 UTC 2026","","k6 Performance Tests","",""
"","1083","User all status filter options are selectable","chromium","Fri Mar 27 20:15:04 UTC 2026","passed","Fri Mar 27 20:15:05 UTC 2026","Orders — Authenticated User","orders_test.spec.ts","",""
"Verify list orders fails without authentication","10","testListOrdersNoAuth","API Test Suite","Fri Mar 27 20:14:12 UTC 2026","passed","Fri Mar 27 20:14:12 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testListOrdersNoAuth"
"","78","returns HTTP 200 with valid token","","Fri Mar 27 20:13:42 UTC 2026","passed","Fri Mar 27 20:13:42 UTC 2026","Authentication Endpoints > POST /api/auth/logout","auth_test.spec.ts","",""
"","2","test_404_response_includes_error_details","tests","Fri Mar 27 20:14:12 UTC 2026","passed","Fri Mar 27 20:14:12 UTC 2026","TestNotFound","health_test","",""
"Orders that have progressed past pending cannot be cancelled.","24","test_cannot_cancel_non_pending_order","tests","Fri Mar 27 20:14:15 UTC 2026","passed","Fri Mar 27 20:14:15 UTC 2026","TestCancelOrder","orders_test","",""
"","855","User pagination next button advances to page 2","chromium","Fri Mar 27 20:15:05 UTC 2026","passed","Fri Mar 27 20:15:06 UTC 2026","Orders — Authenticated User","orders_test.spec.ts","",""
"","12","returns HTTP 400 for invalid email format","","Fri Mar 27 20:13:41 UTC 2026","passed","Fri Mar 27 20:13:41 UTC 2026","Authentication Endpoints > POST /api/auth/register","auth_test.spec.ts","",""
"Verify invalid endpoint returns 404","23","testInvalidEndpoint","API Test Suite","Fri Mar 27 20:14:02 UTC 2026","passed","Fri Mar 27 20:14:03 UTC 2026","com.automationlab.tests.HealthTest","API Tests","com.automationlab.tests.HealthTest","testInvalidEndpoint"
"","3","test_register_with_empty_body_returns_400","tests","Fri Mar 27 20:14:11 UTC 2026","passed","Fri Mar 27 20:14:11 UTC 2026","TestRegistration","auth_test","",""
"Dashboard displays user name","1512","dashboardDisplaysUserName","SQA Automation Lab — Selenium UI Suite","Fri Mar 27 20:19:18 UTC 2026","passed","Fri Mar 27 20:19:20 UTC 2026","com.sqa.ui.tests.DashboardTest","UI Tests","com.sqa.ui.tests.DashboardTest","dashboardDisplaysUserName"
"","8","test_admin_can_update_status_to_shipped","tests","Fri Mar 27 20:14:14 UTC 2026","passed","Fri Mar 27 20:14:14 UTC 2026","TestUpdateOrderStatus","orders_test","",""
"","38220","POST /api/orders","","Fri Mar 27 20:16:41 UTC 2026","passed","Fri Mar 27 20:17:19 UTC 2026","","k6 Performance Tests","",""
"Dashboard displays user role","1511","dashboardDisplaysUserRole","SQA Automation Lab — Selenium UI Suite","Fri Mar 27 20:19:24 UTC 2026","passed","Fri Mar 27 20:19:25 UTC 2026","com.sqa.ui.tests.DashboardTest","UI Tests","com.sqa.ui.tests.DashboardTest","dashboardDisplaysUserRole"
"All returned products should be active.","5","test_list_products_only_returns_active","tests","Fri Mar 27 20:14:16 UTC 2026","passed","Fri Mar 27 20:14:16 UTC 2026","TestListProducts","products_test","",""
"","960","valid login renders authenticated navbar state","chromium","Fri Mar 27 20:14:30 UTC 2026","passed","Fri Mar 27 20:14:31 UTC 2026","Login","login_test.spec.ts","",""
"Verify anyone can get product details without authentication","34","testGetProductPublic","API Test Suite","Fri Mar 27 20:14:09 UTC 2026","passed","Fri Mar 27 20:14:09 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testGetProductPublic"
"Verify orders list supports pagination","57","testListOrdersPagination","API Test Suite","Fri Mar 27 20:14:12 UTC 2026","passed","Fri Mar 27 20:14:12 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testListOrdersPagination"
"","780","Sign-in link is not visible","chromium","Fri Mar 27 20:14:48 UTC 2026","passed","Fri Mar 27 20:14:49 UTC 2026","Navbar — Authenticated Regular User","navbar_test.spec.ts","",""
"Products link navigates to products page","697","productsLinkNavigatesToProductsPage","SQA Automation Lab — Selenium UI Suite","Fri Mar 27 20:20:31 UTC 2026","passed","Fri Mar 27 20:20:32 UTC 2026","com.sqa.ui.tests.NavigationTest","UI Tests","com.sqa.ui.tests.NavigationTest","productsLinkNavigatesToProductsPage"
"","6","content-type is application/json","","Fri Mar 27 20:13:42 UTC 2026","passed","Fri Mar 27 20:13:42 UTC 2026","Health Endpoints > GET /","health_test.spec.ts","",""
"Verify products list supports pagination","37","testListProductsPagination","API Test Suite","Fri Mar 27 20:14:09 UTC 2026","passed","Fri Mar 27 20:14:09 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testListProductsPagination"
"","765","Dashboard displays user role badge","chromium","Fri Mar 27 20:14:26 UTC 2026","passed","Fri Mar 27 20:14:27 UTC 2026","Dashboard — Authenticated Regular User","dashboard_test.spec.ts","",""
"","4","test_admin_can_delete_any_user","tests","Fri Mar 27 20:14:17 UTC 2026","passed","Fri Mar 27 20:14:17 UTC 2026","TestDeleteUser","user_test","",""
"Verify order can be created with multiple items","57","testCreateOrderMultipleItems","API Test Suite","Fri Mar 27 20:14:12 UTC 2026","passed","Fri Mar 27 20:14:12 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testCreateOrderMultipleItems"
"Verify user can list their own orders","34","testListUserOrders","API Test Suite","Fri Mar 27 20:14:12 UTC 2026","passed","Fri Mar 27 20:14:12 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testListUserOrders"
"","518","Duplicate email shows error message","chromium","Fri Mar 27 20:15:43 UTC 2026","passed","Fri Mar 27 20:15:44 UTC 2026","Register","register_test.spec.ts","",""
"","3","test_get_user_invalid_id_returns_400","tests","Fri Mar 27 20:14:16 UTC 2026","passed","Fri Mar 27 20:14:16 UTC 2026","TestGetUser","user_test","",""
"","4","test_admin_can_update_stock","tests","Fri Mar 27 20:14:16 UTC 2026","passed","Fri Mar 27 20:14:16 UTC 2026","TestUpdateProduct","products_test","",""
"","38088","GET /api/products","","Fri Mar 27 20:15:59 UTC 2026","passed","Fri Mar 27 20:16:37 UTC 2026","","k6 Performance Tests","",""
"Verify anyone can list products without authentication","53","testListProductsPublic","API Test Suite","Fri Mar 27 20:14:11 UTC 2026","passed","Fri Mar 27 20:14:11 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testListProductsPublic"
"","4","test_filter_by_category","tests","Fri Mar 27 20:14:16 UTC 2026","passed","Fri Mar 27 20:14:16 UTC 2026","TestFilterProducts","products_test","",""
"Verify registered user is active by default","234","testRegistrationDefaultActiveStatus","API Test Suite","Fri Mar 27 20:14:04 UTC 2026","passed","Fri Mar 27 20:14:04 UTC 2026","com.automationlab.tests.AuthTest","API Tests","com.automationlab.tests.AuthTest","testRegistrationDefaultActiveStatus"
"","417","empty password stays on login page","chromium","Fri Mar 27 20:14:32 UTC 2026","passed","Fri Mar 27 20:14:32 UTC 2026","Login","login_test.spec.ts","",""
"","251","partial update — stock quantity — is supported","","Fri Mar 27 20:13:55 UTC 2026","passed","Fri Mar 27 20:13:55 UTC 2026","Product Endpoints > PUT /api/products/:id","products_test.spec.ts","",""
"Verify user only sees their own orders","26","testListOrdersOnlyOwnOrders","API Test Suite","Fri Mar 27 20:14:12 UTC 2026","passed","Fri Mar 27 20:14:12 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testListOrdersOnlyOwnOrders"
"Verify create product fails with negative price","14","testCreateProductNegativePrice","API Test Suite","Fri Mar 27 20:14:09 UTC 2026","passed","Fri Mar 27 20:14:09 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testCreateProductNegativePrice"
"","5","returns HTTP 401 without token","","Fri Mar 27 20:13:47 UTC 2026","passed","Fri Mar 27 20:13:47 UTC 2026","Order Endpoints > GET /api/orders/:id","orders_test.spec.ts","",""
"","253","updated product fields are returned in response","","Fri Mar 27 20:13:55 UTC 2026","passed","Fri Mar 27 20:13:55 UTC 2026","Product Endpoints > PUT /api/products/:id","products_test.spec.ts","",""
"","2","test_create_order_without_auth_returns_401","tests","Fri Mar 27 20:14:13 UTC 2026","passed","Fri Mar 27 20:14:13 UTC 2026","TestCreateOrder","orders_test","",""
"","11","category filter returns only products from that category","","Fri Mar 27 20:13:51 UTC 2026","passed","Fri Mar 27 20:13:51 UTC 2026","Product Endpoints > GET /api/products","products_test.spec.ts","",""
"","30071","Auth Tests","","Fri Mar 27 20:14:26 UTC 2026","passed","Fri Mar 27 20:14:56 UTC 2026","","JMeter Performance Tests","",""
"","4","test_register_duplicate_email_returns_409","tests","Fri Mar 27 20:14:11 UTC 2026","passed","Fri Mar 27 20:14:11 UTC 2026","TestRegistration","auth_test","",""
