"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Authenticated user can place order successfully","859","authenticatedUserCanPlaceOrderSuccessfully","SQA Automation Lab — Selenium UI Suite","Wed Mar 11 16:04:48 UTC 2026","broken","Wed Mar 11 16:04:49 UTC 2026","com.sqa.ui.tests.ProductDetailTest","UI Tests","com.sqa.ui.tests.ProductDetailTest","authenticatedUserCanPlaceOrderSuccessfully"
"Dashboard displays user name","868","dashboardDisplaysUserName","SQA Automation Lab — Selenium UI Suite","Wed Mar 11 16:06:21 UTC 2026","broken","Wed Mar 11 16:06:22 UTC 2026","com.sqa.ui.tests.DashboardTest","UI Tests","com.sqa.ui.tests.DashboardTest","dashboardDisplaysUserName"
"","71","returns HTTP 201 with minimum required fields — email and password only","","Wed Mar 11 15:56:44 UTC 2026","passed","Wed Mar 11 15:56:44 UTC 2026","Authentication Endpoints > POST /api/auth/register","auth_test.spec.ts","",""
"","3","test_get_current_user_with_invalid_token_returns_403","tests","Wed Mar 11 15:56:58 UTC 2026","passed","Wed Mar 11 15:56:58 UTC 2026","TestCurrentUser","auth_test","",""
"Verify non-admin cannot update product","16","testUpdateProductNonAdmin","API Test Suite","Wed Mar 11 15:57:11 UTC 2026","passed","Wed Mar 11 15:57:11 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testUpdateProductNonAdmin"
"Orders page displays order cards","0","ordersPageDisplaysOrderCards","SQA Automation Lab — Selenium UI Suite","Wed Mar 11 16:05:53 UTC 2026","skipped","Wed Mar 11 16:05:53 UTC 2026","com.sqa.ui.tests.OrdersTest","UI Tests","com.sqa.ui.tests.OrdersTest","ordersPageDisplaysOrderCards"
"Verify users list only returns active users","124","testListOnlyActiveUsers","API Test Suite","Wed Mar 11 15:57:08 UTC 2026","passed","Wed Mar 11 15:57:08 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testListOnlyActiveUsers"
"","2","test_regular_user_cannot_update_product","tests","Wed Mar 11 15:57:03 UTC 2026","passed","Wed Mar 11 15:57:03 UTC 2026","TestUpdateProduct","products_test","",""
"Verify products can be filtered by multiple criteria","29","testListProductsMultipleFilters","API Test Suite","Wed Mar 11 15:57:10 UTC 2026","passed","Wed Mar 11 15:57:11 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testListProductsMultipleFilters"
"","2","test_create_product_without_price_returns_400","tests","Wed Mar 11 15:57:03 UTC 2026","passed","Wed Mar 11 15:57:03 UTC 2026","TestCreateProduct","products_test","",""
