"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Brand link is visible","10335","brandLinkIsVisible","SQA Automation Lab — Selenium UI Suite","Tue Mar 10 16:54:21 UTC 2026","broken","Tue Mar 10 16:54:32 UTC 2026","com.sqa.ui.tests.NavigationTest","UI Tests","com.sqa.ui.tests.NavigationTest","brandLinkIsVisible"
"","38493","Step 4: View product detail","","Tue Mar 10 16:47:31 UTC 2026","passed","Tue Mar 10 16:48:10 UTC 2026","","k6 Performance Tests","",""
"","4","test_update_nonexistent_product_returns_404","tests","Tue Mar 10 16:44:14 UTC 2026","passed","Tue Mar 10 16:44:14 UTC 2026","TestUpdateProduct","products_test","",""
"","141","response body conforms to auth response schema","","Tue Mar 10 16:43:51 UTC 2026","passed","Tue Mar 10 16:43:51 UTC 2026","Authentication Endpoints > POST /api/auth/login","auth_test.spec.ts","",""
"","5654","orders page displays order cards","chromium","Tue Mar 10 16:57:41 UTC 2026","failed","Tue Mar 10 16:57:47 UTC 2026","Orders","orders_test.spec.ts","",""
"","6","test_current_user_includes_full_profile","tests","Tue Mar 10 16:44:09 UTC 2026","passed","Tue Mar 10 16:44:09 UTC 2026","TestCurrentUser","auth_test","",""
"","328","stock is restored after order cancellation","","Tue Mar 10 16:43:59 UTC 2026","passed","Tue Mar 10 16:43:59 UTC 2026","Order Endpoints > DELETE /api/orders/:id","orders_test.spec.ts","",""
"","320","returns HTTP 200 for own order","","Tue Mar 10 16:43:55 UTC 2026","passed","Tue Mar 10 16:43:55 UTC 2026","Order Endpoints > GET /api/orders/:id","orders_test.spec.ts","",""
"Verify create order fails with empty items array","12","testCreateOrderEmptyItems","API Test Suite","Tue Mar 10 16:44:29 UTC 2026","passed","Tue Mar 10 16:44:29 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testCreateOrderEmptyItems"
"Search returns filtered results","10551","searchReturnsFilteredResults","SQA Automation Lab — Selenium UI Suite","Tue Mar 10 16:51:04 UTC 2026","broken","Tue Mar 10 16:51:15 UTC 2026","com.sqa.ui.tests.ProductsTest","UI Tests","com.sqa.ui.tests.ProductsTest","searchReturnsFilteredResults"
"Verify registration fails with missing password","22","testRegistrationMissingPassword","API Test Suite","Tue Mar 10 16:44:21 UTC 2026","passed","Tue Mar 10 16:44:21 UTC 2026","com.automationlab.tests.AuthTest","API Tests","com.automationlab.tests.AuthTest","testRegistrationMissingPassword"
"Verify products can be filtered by category","36","testListProductsByCategory","API Test Suite","Tue Mar 10 16:44:26 UTC 2026","passed","Tue Mar 10 16:44:26 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testListProductsByCategory"
"","5310","unauthenticated access redirects to login","chromium","Tue Mar 10 16:44:26 UTC 2026","failed","Tue Mar 10 16:44:31 UTC 2026","Dashboard — Unauthenticated","dashboard_test.spec.ts","",""
"","80","returns correct user data for the token owner","","Tue Mar 10 16:43:51 UTC 2026","passed","Tue Mar 10 16:43:51 UTC 2026","Authentication Endpoints > GET /api/auth/me","auth_test.spec.ts","",""
"","12","products in listing include expected fields","","Tue Mar 10 16:44:01 UTC 2026","passed","Tue Mar 10 16:44:01 UTC 2026","Product Endpoints > GET /api/products","products_test.spec.ts","",""
"","4","test_list_users_respects_limit","tests","Tue Mar 10 16:44:14 UTC 2026","passed","Tue Mar 10 16:44:14 UTC 2026","TestListUsers","user_test","",""
"Verify search is case-insensitive","64","testSearchProductsCaseInsensitive","API Test Suite","Tue Mar 10 16:44:27 UTC 2026","passed","Tue Mar 10 16:44:27 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testSearchProductsCaseInsensitive"
"Verify admin can create a new product","70","testCreateProduct","API Test Suite","Tue Mar 10 16:44:26 UTC 2026","passed","Tue Mar 10 16:44:26 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testCreateProduct"
"","244","creating with minimum fields returns 201 and stock defaults to zero","","Tue Mar 10 16:44:02 UTC 2026","passed","Tue Mar 10 16:44:02 UTC 2026","Product Endpoints > POST /api/products","products_test.spec.ts","",""
"","38110","POST /api/products - admin","","Tue Mar 10 16:46:06 UTC 2026","passed","Tue Mar 10 16:46:44 UTC 2026","","k6 Performance Tests","",""
"","38110","GET /api/products","","Tue Mar 10 16:46:05 UTC 2026","passed","Tue Mar 10 16:46:43 UTC 2026","","k6 Performance Tests","",""
