"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","69","returns HTTP 200 when soft deleting own account","","Tue Apr 07 07:12:19 UTC 2026","passed","Tue Apr 07 07:12:19 UTC 2026","User Endpoints > DELETE /api/users/:id","user_test.spec.ts","",""
"Status filter cancelled shows filtered results or empty state — AUT Bug C","460","statusFilterCancelledShowsFilteredResultsOrEmptyState","SQA Automation Lab — Selenium UI Suite","Tue Apr 07 07:17:29 UTC 2026","passed","Tue Apr 07 07:17:30 UTC 2026","com.sqa.ui.tests.OrdersTest","UI Tests","com.sqa.ui.tests.OrdersTest","statusFilterCancelledShowsFilteredResultsOrEmptyState"
"**Risk:** Informational
**Confidence:** 2
**Instances:** 3

**Description:**
Check for differences in response based on fuzzed User Agent (eg. mobile sites, access as a Search Engine Crawler). Compares the response statuscode and the hashcode of the response body with the original response.

**Solution:**
","0","User Agent Fuzzer","","Tue Apr 07 07:13:23 UTC 2026","passed","Tue Apr 07 07:13:23 UTC 2026","","Security - ZAP API Scan","",""
"","5602","Password shorter than 6 characters shows validation error","chromium","Tue Apr 07 07:13:54 UTC 2026","failed","Tue Apr 07 07:14:00 UTC 2026","Register","register_test.spec.ts","",""
"Verify pagination returns correct total count","36","testListUsersPaginationTotalCount","API Test Suite","Tue Apr 07 07:12:19 UTC 2026","passed","Tue Apr 07 07:12:19 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testListUsersPaginationTotalCount"
"","253","Product detail page displays product price","chromium","Tue Apr 07 07:13:10 UTC 2026","passed","Tue Apr 07 07:13:10 UTC 2026","Product Detail — Unauthenticated","product_detail_test.spec.ts","",""
"","78","user objects in response do not expose password field","","Tue Apr 07 07:12:17 UTC 2026","passed","Tue Apr 07 07:12:17 UTC 2026","User Endpoints > GET /api/users","user_test.spec.ts","",""
"","892","Admin cancel order dismissed by user leaves order intact","chromium","Tue Apr 07 07:13:02 UTC 2026","passed","Tue Apr 07 07:13:02 UTC 2026","Orders — Authenticated Admin","orders_test.spec.ts","",""
"","5","test_list_users_respects_limit","tests","Tue Apr 07 07:12:23 UTC 2026","passed","Tue Apr 07 07:12:23 UTC 2026","TestListUsers","user_test","",""
"Verify get order fails without authentication","14","testGetOrderNoAuth","API Test Suite","Tue Apr 07 07:12:24 UTC 2026","passed","Tue Apr 07 07:12:24 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testGetOrderNoAuth"
"Password shorter than 6 characters shows validation error","11627","shortPasswordShowsValidationError","SQA Automation Lab — Selenium UI Suite","Tue Apr 07 07:14:48 UTC 2026","failed","Tue Apr 07 07:15:00 UTC 2026","com.sqa.ui.tests.RegisterTest","UI Tests","com.sqa.ui.tests.RegisterTest","shortPasswordShowsValidationError"
"Verify admin can update product details","48","testUpdateProduct","API Test Suite","Tue Apr 07 07:12:22 UTC 2026","passed","Tue Apr 07 07:12:22 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testUpdateProduct"
"","867","User can place order successfully","chromium","Tue Apr 07 07:13:14 UTC 2026","passed","Tue Apr 07 07:13:15 UTC 2026","Product Detail — Authenticated User","product_detail_test.spec.ts","",""
"","324","response contains order with items","","Tue Apr 07 07:12:01 UTC 2026","passed","Tue Apr 07 07:12:02 UTC 2026","Order Endpoints > POST /api/orders","orders_test.spec.ts","",""
"","2","test_404_response_includes_error_details","tests","Tue Apr 07 07:12:18 UTC 2026","passed","Tue Apr 07 07:12:18 UTC 2026","TestNotFound","health_test","",""
"","254","Product detail page displays stock status","chromium","Tue Apr 07 07:13:10 UTC 2026","passed","Tue Apr 07 07:13:11 UTC 2026","Product Detail — Unauthenticated","product_detail_test.spec.ts","",""
"","807","Admin orders page displays heading","chromium","Tue Apr 07 07:12:55 UTC 2026","passed","Tue Apr 07 07:12:56 UTC 2026","Orders — Authenticated Admin","orders_test.spec.ts","",""
"","348","returns HTTP 403 for non-admin authenticated user","","Tue Apr 07 07:12:16 UTC 2026","passed","Tue Apr 07 07:12:16 UTC 2026","Product Endpoints > DELETE /api/products/:id","products_test.spec.ts","",""
"","39242","GET /api/users/:id - unauthorized (different user)","","Tue Apr 07 07:13:31 UTC 2026","passed","Tue Apr 07 07:14:10 UTC 2026","","k6 Performance Tests","",""
"","9","products in listing include expected fields","","Tue Apr 07 07:12:10 UTC 2026","passed","Tue Apr 07 07:12:10 UTC 2026","Product Endpoints > GET /api/products","products_test.spec.ts","",""
"","37975","Step 1: Register new user","","Tue Apr 07 07:15:35 UTC 2026","passed","Tue Apr 07 07:16:13 UTC 2026","","k6 Performance Tests","",""
"Sign out button clears session and redirects to login","1135","signOutButtonClearsSessionAndRedirectsToLogin","SQA Automation Lab — Selenium UI Suite","Tue Apr 07 07:19:32 UTC 2026","passed","Tue Apr 07 07:19:33 UTC 2026","com.sqa.ui.tests.NavigationTest","UI Tests","com.sqa.ui.tests.NavigationTest","signOutButtonClearsSessionAndRedirectsToLogin"
"","788","Orders link navigates to orders page","chromium","Tue Apr 07 07:12:46 UTC 2026","passed","Tue Apr 07 07:12:47 UTC 2026","Navbar — Authenticated Admin","navbar_test.spec.ts","",""
"","6","returns HTTP 401 without token","","Tue Apr 07 07:12:01 UTC 2026","passed","Tue Apr 07 07:12:01 UTC 2026","Authentication Endpoints > GET /api/auth/me","auth_test.spec.ts","",""
"Verify list orders fails without authentication","21","testListOrdersNoAuth","API Test Suite","Tue Apr 07 07:12:24 UTC 2026","passed","Tue Apr 07 07:12:24 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testListOrdersNoAuth"
"","339","Product card link navigates to product detail page","chromium","Tue Apr 07 07:13:20 UTC 2026","passed","Tue Apr 07 07:13:20 UTC 2026","Products — Unauthenticated","products_test.spec.ts","",""
"","30064","Auth Tests","","Tue Apr 07 07:21:40 UTC 2026","passed","Tue Apr 07 07:22:10 UTC 2026","","JMeter Performance Tests","",""
"","893","User can navigate to product detail","chromium","Tue Apr 07 07:13:25 UTC 2026","passed","Tue Apr 07 07:13:26 UTC 2026","Products — Authenticated User","products_test.spec.ts","",""
"","5","returns HTTP 401 without token","","Tue Apr 07 07:12:17 UTC 2026","passed","Tue Apr 07 07:12:17 UTC 2026","User Endpoints > GET /api/users","user_test.spec.ts","",""
"","6","test_list_users_returns_200","tests","Tue Apr 07 07:12:23 UTC 2026","passed","Tue Apr 07 07:12:23 UTC 2026","TestListUsers","user_test","",""
"","789","Sign out button is visible","chromium","Tue Apr 07 07:12:42 UTC 2026","passed","Tue Apr 07 07:12:43 UTC 2026","Navbar — Authenticated Admin","navbar_test.spec.ts","",""
"Verify users list does not include passwords","38","testListUsersDoesNotReturnPasswords","API Test Suite","Tue Apr 07 07:12:19 UTC 2026","passed","Tue Apr 07 07:12:19 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testListUsersDoesNotReturnPasswords"
"","4","test_create_product_with_minimum_fields","tests","Tue Apr 07 07:12:22 UTC 2026","passed","Tue Apr 07 07:12:22 UTC 2026","TestCreateProduct","products_test","",""
"Verify create product fails with missing name","17","testCreateProductMissingName","API Test Suite","Tue Apr 07 07:12:21 UTC 2026","passed","Tue Apr 07 07:12:21 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testCreateProductMissingName"
"Verify password is not included in user response","18","testGetUserDoesNotReturnPassword","API Test Suite","Tue Apr 07 07:12:18 UTC 2026","passed","Tue Apr 07 07:12:18 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testGetUserDoesNotReturnPassword"
"Verify default pagination limit","47","testListProductsDefaultPaginationLimit","API Test Suite","Tue Apr 07 07:12:21 UTC 2026","passed","Tue Apr 07 07:12:21 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testListProductsDefaultPaginationLimit"
"","2","test_list_orders_without_auth_returns_401","tests","Tue Apr 07 07:12:20 UTC 2026","passed","Tue Apr 07 07:12:20 UTC 2026","TestListOrders","orders_test","",""
"","796","User order error message shown on invalid product","chromium","Tue Apr 07 07:13:16 UTC 2026","passed","Tue Apr 07 07:13:17 UTC 2026","Product Detail — Authenticated User","product_detail_test.spec.ts","",""
"Verify created product has default active status","20","testCreateProductDefaultActiveStatus","API Test Suite","Tue Apr 07 07:12:21 UTC 2026","passed","Tue Apr 07 07:12:21 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testCreateProductDefaultActiveStatus"
"","11","category filter returns only products from that category","","Tue Apr 07 07:12:10 UTC 2026","passed","Tue Apr 07 07:12:10 UTC 2026","Product Endpoints > GET /api/products","products_test.spec.ts","",""
"Verify order calculates correct total amount","25","testOrderCalculatesTotalAmount","API Test Suite","Tue Apr 07 07:12:24 UTC 2026","passed","Tue Apr 07 07:12:24 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testOrderCalculatesTotalAmount"
"Order quantity exceeding available stock should fail.","9","test_create_order_exceeding_stock_returns_400","tests","Tue Apr 07 07:12:20 UTC 2026","passed","Tue Apr 07 07:12:20 UTC 2026","TestCreateOrder","orders_test","",""
"","5449","Empty first name shows validation error","chromium","Tue Apr 07 07:13:27 UTC 2026","failed","Tue Apr 07 07:13:33 UTC 2026","Register","register_test.spec.ts","",""
"Verify update with invalid status fails","11","testUpdateOrderInvalidStatus","API Test Suite","Tue Apr 07 07:12:24 UTC 2026","passed","Tue Apr 07 07:12:24 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testUpdateOrderInvalidStatus"
"Verify empty category filter returns all products","30","testListProductsEmptyCategoryFilter","API Test Suite","Tue Apr 07 07:12:21 UTC 2026","passed","Tue Apr 07 07:12:21 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testListProductsEmptyCategoryFilter"
