"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","returns HTTP 200 for authenticated user","","Thu Mar 05 05:36:42 UTC 2026","passed","Thu Mar 05 05:36:42 UTC 2026","Order Endpoints > GET /api/orders","orders_test.spec.ts","",""
"","328","returns HTTP 400 for invalid status value","","Thu Mar 05 05:36:46 UTC 2026","passed","Thu Mar 05 05:36:46 UTC 2026","Order Endpoints > PATCH /api/orders/:id/status","orders_test.spec.ts","",""
"","2","test_get_current_user_without_token_returns_401","tests","Thu Mar 05 05:37:05 UTC 2026","passed","Thu Mar 05 05:37:05 UTC 2026","TestCurrentUser","auth_test","",""
"","248","returns HTTP 404 for non-existent user","","Thu Mar 05 05:36:56 UTC 2026","passed","Thu Mar 05 05:36:57 UTC 2026","User Endpoints > GET /api/users/:id","user_test.spec.ts","",""
"","73","returns HTTP 400 for invalid page parameter","","Thu Mar 05 05:36:56 UTC 2026","passed","Thu Mar 05 05:36:56 UTC 2026","User Endpoints > GET /api/users","user_test.spec.ts","",""
"","327","returns HTTP 403 for non-admin authenticated user","","Thu Mar 05 05:36:46 UTC 2026","passed","Thu Mar 05 05:36:47 UTC 2026","Order Endpoints > PATCH /api/orders/:id/status","orders_test.spec.ts","",""
"","11","test_admin_can_update_status_to_shipped","tests","Thu Mar 05 05:37:08 UTC 2026","passed","Thu Mar 05 05:37:08 UTC 2026","TestUpdateOrderStatus","orders_test","",""
"","1","setup","","Thu Mar 05 05:39:01 UTC 2026","passed","Thu Mar 05 05:39:01 UTC 2026","","k6 Performance Tests","",""
"Verify registration fails with missing password","21","testRegistrationMissingPassword","API Test Suite","Thu Mar 05 05:37:21 UTC 2026","passed","Thu Mar 05 05:37:21 UTC 2026","com.automationlab.tests.AuthTest","API Tests","com.automationlab.tests.AuthTest","testRegistrationMissingPassword"
"Verify pagination returns correct total count","30","testListProductsPaginationTotalCount","API Test Suite","Thu Mar 05 05:37:26 UTC 2026","passed","Thu Mar 05 05:37:26 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testListProductsPaginationTotalCount"
"Verify update order status fails without authentication","16","testUpdateOrderStatusNoAuth","API Test Suite","Thu Mar 05 05:37:29 UTC 2026","passed","Thu Mar 05 05:37:29 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testUpdateOrderStatusNoAuth"
"","37987","Step 4: View product detail","","Thu Mar 05 05:40:27 UTC 2026","passed","Thu Mar 05 05:41:05 UTC 2026","","k6 Performance Tests","",""
"ILIKE search should be case-insensitive.","7","test_search_is_case_insensitive","tests","Thu Mar 05 05:37:09 UTC 2026","passed","Thu Mar 05 05:37:09 UTC 2026","TestFilterProducts","products_test","",""
"Verify user cannot update another user's profile","17","testUpdateOtherUserForbidden","API Test Suite","Thu Mar 05 05:37:23 UTC 2026","passed","Thu Mar 05 05:37:23 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testUpdateOtherUserForbidden"
"","2","test_logout_without_token_returns_401","tests","Thu Mar 05 05:37:05 UTC 2026","passed","Thu Mar 05 05:37:05 UTC 2026","TestLogout","auth_test","",""
"","72","response contains orders array and pagination object","","Thu Mar 05 05:36:43 UTC 2026","passed","Thu Mar 05 05:36:43 UTC 2026","Order Endpoints > GET /api/orders","orders_test.spec.ts","",""
"Verify update with invalid email format fails","18","testUpdateUserInvalidEmail","API Test Suite","Thu Mar 05 05:37:23 UTC 2026","passed","Thu Mar 05 05:37:23 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testUpdateUserInvalidEmail"
"","326","new order status is pending","","Thu Mar 05 05:36:41 UTC 2026","passed","Thu Mar 05 05:36:41 UTC 2026","Order Endpoints > POST /api/orders","orders_test.spec.ts","",""
"","3","test_root_returns_app_info","tests","Thu Mar 05 05:37:05 UTC 2026","passed","Thu Mar 05 05:37:05 UTC 2026","TestRootEndpoint","health_test","",""
"Verify admin can retrieve any user","29","testAdminGetAnyUser","API Test Suite","Thu Mar 05 05:37:22 UTC 2026","passed","Thu Mar 05 05:37:22 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testAdminGetAnyUser"
"","38188","GET /api/products/:id","","Thu Mar 05 05:39:01 UTC 2026","passed","Thu Mar 05 05:39:39 UTC 2026","","k6 Performance Tests","",""
"","4","test_create_order_with_nonexistent_product_returns_404","tests","Thu Mar 05 05:37:06 UTC 2026","passed","Thu Mar 05 05:37:06 UTC 2026","TestCreateOrder","orders_test","",""
"","312","admin can delete any user","","Thu Mar 05 05:36:58 UTC 2026","passed","Thu Mar 05 05:36:58 UTC 2026","User Endpoints > DELETE /api/users/:id","user_test.spec.ts","",""
"","71","returns HTTP 401 without token","","Thu Mar 05 05:36:58 UTC 2026","passed","Thu Mar 05 05:36:58 UTC 2026","User Endpoints > PUT /api/users/:id","user_test.spec.ts","",""
"","10","test_create_order_with_single_item","tests","Thu Mar 05 05:37:06 UTC 2026","passed","Thu Mar 05 05:37:06 UTC 2026","TestCreateOrder","orders_test","",""
