"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify anyone can list products without authentication","32","testListProductsPublic","API Test Suite","Sat Mar 14 02:04:34 UTC 2026","passed","Sat Mar 14 02:04:34 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testListProductsPublic"
"Verify search is case-insensitive","24","testSearchProductsCaseInsensitive","API Test Suite","Sat Mar 14 02:04:33 UTC 2026","passed","Sat Mar 14 02:04:33 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testSearchProductsCaseInsensitive"
"Regular users should not be able to view other users' profiles.","3","test_user_cannot_view_other_user","tests","Sat Mar 14 02:04:12 UTC 2026","passed","Sat Mar 14 02:04:12 UTC 2026","TestGetUser","user_test","",""
"","2","test_login_without_password_returns_400","tests","Sat Mar 14 02:04:07 UTC 2026","passed","Sat Mar 14 02:04:07 UTC 2026","TestLogin","auth_test","",""
"","75","returns correct user data for the token owner","","Sat Mar 14 02:03:55 UTC 2026","passed","Sat Mar 14 02:03:55 UTC 2026","Authentication Endpoints > GET /api/auth/me","auth_test.spec.ts","",""
"","4","test_admin_can_create_product","tests","Sat Mar 14 02:04:11 UTC 2026","passed","Sat Mar 14 02:04:11 UTC 2026","TestCreateProduct","products_test","",""
"Sign out button clears session and redirects to login","10615","signOutButtonClearsSessionAndRedirectsToLogin","SQA Automation Lab — Selenium UI Suite","Sat Mar 14 02:17:35 UTC 2026","broken","Sat Mar 14 02:17:46 UTC 2026","com.sqa.ui.tests.NavigationTest","UI Tests","com.sqa.ui.tests.NavigationTest","signOutButtonClearsSessionAndRedirectsToLogin"
"","8","test_status_update_changes_updated_at","tests","Sat Mar 14 02:04:10 UTC 2026","passed","Sat Mar 14 02:04:10 UTC 2026","TestUpdateOrderStatus","orders_test","",""
"","30234","Order Tests","","Sat Mar 14 02:06:35 UTC 2026","passed","Sat Mar 14 02:07:06 UTC 2026","","JMeter Performance Tests","",""
"","5269","register link is visible when unauthenticated","chromium","Sat Mar 14 02:10:35 UTC 2026","failed","Sat Mar 14 02:10:41 UTC 2026","Navigation — Unauthenticated","navigation_test.spec.ts","",""
"","3","test_update_with_empty_body_returns_400","tests","Sat Mar 14 02:04:12 UTC 2026","passed","Sat Mar 14 02:04:12 UTC 2026","TestUpdateUser","user_test","",""
"","7","returns HTTP 401 for non-existent email","","Sat Mar 14 02:03:55 UTC 2026","passed","Sat Mar 14 02:03:55 UTC 2026","Authentication Endpoints > POST /api/auth/login","auth_test.spec.ts","",""
"","248","returns HTTP 400 for negative price","","Sat Mar 14 02:04:07 UTC 2026","passed","Sat Mar 14 02:04:08 UTC 2026","Product Endpoints > POST /api/products","products_test.spec.ts","",""
"","30075","dashboard link navigates to dashboard page","chromium","Sat Mar 14 02:13:41 UTC 2026","broken","Sat Mar 14 02:14:11 UTC 2026","Navigation — Authenticated","navigation_test.spec.ts","",""
"Verify user only sees their own orders","35","testListOrdersOnlyOwnOrders","API Test Suite","Sat Mar 14 02:04:35 UTC 2026","passed","Sat Mar 14 02:04:35 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testListOrdersOnlyOwnOrders"
"","72","returns HTTP 409 when updating email to one already in use","","Sat Mar 14 02:04:13 UTC 2026","passed","Sat Mar 14 02:04:13 UTC 2026","User Endpoints > PUT /api/users/:id","user_test.spec.ts","",""
"","75","pagination metadata contains expected fields","","Sat Mar 14 02:03:59 UTC 2026","passed","Sat Mar 14 02:03:59 UTC 2026","Order Endpoints > GET /api/orders","orders_test.spec.ts","",""
"Verify user can retrieve their own profile","53","testGetOwnUser","API Test Suite","Sat Mar 14 02:04:30 UTC 2026","passed","Sat Mar 14 02:04:30 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testGetOwnUser"
"Dashboard displays user email","509","dashboardDisplaysUserEmail","SQA Automation Lab — Selenium UI Suite","Sat Mar 14 02:13:14 UTC 2026","broken","Sat Mar 14 02:13:14 UTC 2026","com.sqa.ui.tests.DashboardTest","UI Tests","com.sqa.ui.tests.DashboardTest","dashboardDisplaysUserEmail"
"","2","test_login_without_email_returns_400","tests","Sat Mar 14 02:04:07 UTC 2026","passed","Sat Mar 14 02:04:07 UTC 2026","TestLogin","auth_test","",""
"Verify update with invalid email format fails","16","testUpdateUserInvalidEmail","API Test Suite","Sat Mar 14 02:04:30 UTC 2026","passed","Sat Mar 14 02:04:30 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testUpdateUserInvalidEmail"
