"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","155","response body conforms to auth response schema","","Tue Mar 10 18:35:58 UTC 2026","passed","Tue Mar 10 18:35:59 UTC 2026","Authentication Endpoints > POST /api/auth/login","auth_test.spec.ts","",""
"Register link is not visible when authenticated","10608","registerLinkIsNotVisibleWhenAuthenticated","SQA Automation Lab — Selenium UI Suite","Tue Mar 10 18:48:22 UTC 2026","broken","Tue Mar 10 18:48:33 UTC 2026","com.sqa.ui.tests.NavigationTest","UI Tests","com.sqa.ui.tests.NavigationTest","registerLinkIsNotVisibleWhenAuthenticated"
"","73","response body conforms to paginated users schema","","Tue Mar 10 18:36:15 UTC 2026","passed","Tue Mar 10 18:36:15 UTC 2026","User Endpoints > GET /api/users","user_test.spec.ts","",""
"Register link navigates to register page","10532","registerLinkNavigatesToRegisterPage","SQA Automation Lab — Selenium UI Suite","Tue Mar 10 18:37:50 UTC 2026","broken","Tue Mar 10 18:38:00 UTC 2026","com.sqa.ui.tests.LoginTest","UI Tests","com.sqa.ui.tests.LoginTest","registerLinkNavigatesToRegisterPage"
"","7","returns HTTP 401 without token","","Tue Mar 10 18:35:59 UTC 2026","passed","Tue Mar 10 18:35:59 UTC 2026","Authentication Endpoints > POST /api/auth/logout","auth_test.spec.ts","",""
"","321","returns HTTP 400 for quantity exceeding available stock","","Tue Mar 10 18:36:02 UTC 2026","passed","Tue Mar 10 18:36:02 UTC 2026","Order Endpoints > POST /api/orders","orders_test.spec.ts","",""
"","38240","GET /api/orders","","Tue Mar 10 18:38:42 UTC 2026","passed","Tue Mar 10 18:39:21 UTC 2026","","k6 Performance Tests","",""
"","38232","DELETE /api/orders/:id","","Tue Mar 10 18:38:44 UTC 2026","passed","Tue Mar 10 18:39:23 UTC 2026","","k6 Performance Tests","",""
"Verify health check works with GET method","26","testHealthEndpointGetMethod","API Test Suite","Tue Mar 10 18:36:35 UTC 2026","passed","Tue Mar 10 18:36:35 UTC 2026","com.automationlab.tests.HealthTest","API Tests","com.automationlab.tests.HealthTest","testHealthEndpointGetMethod"
"Verify delete non-existent product returns 404","16","testDeleteNonExistentProduct","API Test Suite","Tue Mar 10 18:36:42 UTC 2026","passed","Tue Mar 10 18:36:42 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testDeleteNonExistentProduct"
"","6","content-type is application/json","","Tue Mar 10 18:35:59 UTC 2026","passed","Tue Mar 10 18:35:59 UTC 2026","Health Endpoints > GET /health","health_test.spec.ts","",""
"","74","returns HTTP 200 for authenticated user","","Tue Mar 10 18:36:02 UTC 2026","passed","Tue Mar 10 18:36:02 UTC 2026","Order Endpoints > GET /api/orders","orders_test.spec.ts","",""
"Cancel order dismissed by user leaves order intact — AUT Bug C","1","cancelOrderDismissedLeavesOrderIntact","SQA Automation Lab — Selenium UI Suite","Tue Mar 10 18:44:13 UTC 2026","skipped","Tue Mar 10 18:44:13 UTC 2026","com.sqa.ui.tests.OrdersTest","UI Tests","com.sqa.ui.tests.OrdersTest","cancelOrderDismissedLeavesOrderIntact"
"","30075","register link navigates to register page","chromium","Tue Mar 10 18:43:51 UTC 2026","broken","Tue Mar 10 18:44:22 UTC 2026","Login","login_test.spec.ts","",""
"","11","test_order_items_include_product_details","tests","Tue Mar 10 18:36:17 UTC 2026","passed","Tue Mar 10 18:36:17 UTC 2026","TestGetOrder","orders_test","",""
"","311","admin can delete any user","","Tue Mar 10 18:36:18 UTC 2026","passed","Tue Mar 10 18:36:18 UTC 2026","User Endpoints > DELETE /api/users/:id","user_test.spec.ts","",""
"","5273","register link is visible when unauthenticated","chromium","Tue Mar 10 18:45:21 UTC 2026","failed","Tue Mar 10 18:45:26 UTC 2026","Navigation — Unauthenticated","navigation_test.spec.ts","",""
"","30145","cancel order dismissed by user leaves order intact","chromium","Tue Mar 10 18:51:19 UTC 2026","broken","Tue Mar 10 18:51:49 UTC 2026","Orders","orders_test.spec.ts","",""
"Verify user can cancel their own pending order","52","testCancelOwnOrder","API Test Suite","Tue Mar 10 18:36:45 UTC 2026","passed","Tue Mar 10 18:36:45 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testCancelOwnOrder"
"","7","returns HTTP 400 when email is missing","","Tue Mar 10 18:35:58 UTC 2026","passed","Tue Mar 10 18:35:58 UTC 2026","Authentication Endpoints > POST /api/auth/register","auth_test.spec.ts","",""
"","80","response body conforms to auth response schema","","Tue Mar 10 18:35:58 UTC 2026","passed","Tue Mar 10 18:35:58 UTC 2026","Authentication Endpoints > POST /api/auth/register","auth_test.spec.ts","",""
"Product detail page displays category","397","productDetailPageDisplaysCategory","SQA Automation Lab — Selenium UI Suite","Tue Mar 10 18:43:49 UTC 2026","failed","Tue Mar 10 18:43:49 UTC 2026","com.sqa.ui.tests.ProductDetailTest","UI Tests","com.sqa.ui.tests.ProductDetailTest","productDetailPageDisplaysCategory"
"Valid credentials redirect to products page","10577","validCredentialsRedirectToProductsPage","SQA Automation Lab — Selenium UI Suite","Tue Mar 10 18:38:03 UTC 2026","broken","Tue Mar 10 18:38:14 UTC 2026","com.sqa.ui.tests.LoginTest","UI Tests","com.sqa.ui.tests.LoginTest","validCredentialsRedirectToProductsPage"
"","64","test_login_returns_user_info","tests","Tue Mar 10 18:36:15 UTC 2026","passed","Tue Mar 10 18:36:15 UTC 2026","TestLogin","auth_test","",""
"","320","returns HTTP 403 for non-admin authenticated user","","Tue Mar 10 18:36:14 UTC 2026","passed","Tue Mar 10 18:36:15 UTC 2026","Product Endpoints > DELETE /api/products/:id","products_test.spec.ts","",""
"","30091","search with no matches shows no products found message","chromium","Tue Mar 10 18:56:06 UTC 2026","broken","Tue Mar 10 18:56:36 UTC 2026","Products — Unauthenticated","products_test.spec.ts","",""
"","30121","status filter pending shows only pending orders","chromium","Tue Mar 10 18:49:44 UTC 2026","broken","Tue Mar 10 18:50:14 UTC 2026","Orders","orders_test.spec.ts","",""
"","330","response contains order with items","","Tue Mar 10 18:36:00 UTC 2026","passed","Tue Mar 10 18:36:00 UTC 2026","Order Endpoints > POST /api/orders","orders_test.spec.ts","",""
"Verify user can get their own order details","45","testGetOwnOrder","API Test Suite","Tue Mar 10 18:36:45 UTC 2026","passed","Tue Mar 10 18:36:45 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testGetOwnOrder"
"","5308","products page displays heading","chromium","Tue Mar 10 18:54:50 UTC 2026","failed","Tue Mar 10 18:54:55 UTC 2026","Products — Unauthenticated","products_test.spec.ts","",""
"","1","setup","","Tue Mar 10 18:37:18 UTC 2026","passed","Tue Mar 10 18:37:18 UTC 2026","","k6 Performance Tests","",""
"","5278","product detail page displays category","chromium","Tue Mar 10 18:52:42 UTC 2026","failed","Tue Mar 10 18:52:47 UTC 2026","Product Detail — Unauthenticated","product_detail_test.spec.ts","",""
"","4","test_create_order_with_nonexistent_product_returns_404","tests","Tue Mar 10 18:36:17 UTC 2026","passed","Tue Mar 10 18:36:17 UTC 2026","TestCreateOrder","orders_test","",""
"","10","limit parameter is respected","","Tue Mar 10 18:36:09 UTC 2026","passed","Tue Mar 10 18:36:09 UTC 2026","Product Endpoints > GET /api/products","products_test.spec.ts","",""
"Edit profile button reveals edit form","10631","editProfileButtonRevealsEditForm","SQA Automation Lab — Selenium UI Suite","Tue Mar 10 18:45:15 UTC 2026","broken","Tue Mar 10 18:45:26 UTC 2026","com.sqa.ui.tests.DashboardTest","UI Tests","com.sqa.ui.tests.DashboardTest","editProfileButtonRevealsEditForm"
"","5582","dashboard link is visible when authenticated","chromium","Tue Mar 10 18:47:40 UTC 2026","failed","Tue Mar 10 18:47:46 UTC 2026","Navigation — Authenticated","navigation_test.spec.ts","",""
"","13","response contains products array and pagination object","","Tue Mar 10 18:36:08 UTC 2026","passed","Tue Mar 10 18:36:08 UTC 2026","Product Endpoints > GET /api/products","products_test.spec.ts","",""
"","3","test_login_without_email_returns_400","tests","Tue Mar 10 18:36:15 UTC 2026","passed","Tue Mar 10 18:36:15 UTC 2026","TestLogin","auth_test","",""
"Verify login fails with missing password","16","testLoginMissingPassword","API Test Suite","Tue Mar 10 18:36:36 UTC 2026","passed","Tue Mar 10 18:36:36 UTC 2026","com.automationlab.tests.AuthTest","API Tests","com.automationlab.tests.AuthTest","testLoginMissingPassword"
"","30117","save with valid names updates profile and shows success message","chromium","Tue Mar 10 18:37:59 UTC 2026","broken","Tue Mar 10 18:38:29 UTC 2026","Dashboard — Authenticated","dashboard_test.spec.ts","",""
"Verify user cannot get another user's order","40","testGetOtherUserOrder","API Test Suite","Tue Mar 10 18:36:45 UTC 2026","passed","Tue Mar 10 18:36:45 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testGetOtherUserOrder"
"","6","test_update_nonexistent_order_returns_404","tests","Tue Mar 10 18:36:19 UTC 2026","passed","Tue Mar 10 18:36:19 UTC 2026","TestUpdateOrderStatus","orders_test","",""
"","153","returns HTTP 403 or 404 when updating another users data","","Tue Mar 10 18:36:17 UTC 2026","passed","Tue Mar 10 18:36:17 UTC 2026","User Endpoints > PUT /api/users/:id","user_test.spec.ts","",""
